0,-1,0,0,1,1,0,1,2,1,STHSTHSSSTHSSSTwwwwwww
0,0,0,-1,0,-1,1,1,2,3,STHSTHSSSTHSSSTwwwww
0,1,0,0,-1,-1,0,-1,2,5,STHSTHSSSTHSSSTwww
0,0,0,1,0,1,-1,-1,2,7,STHSTHSSSTHSSSTw
0,0,-1,0,-1,1,1,0,2,1,STHSTHSSSTHSSSwwwwww
0,1,0,0,-1,-1,0,-1,2,4,STHSTHSSSTHSSSwww
0,0,1,0,1,-1,-1,0,2,5,STHSTHSSSTHSSSww
-1,0,0,0,1,0,1,-1,2,7,STHSTHSSSTHSSS
0,-1,0,0,1,1,0,1,2,7,STHSTHSSSTHSSTwwwwwww
1,0,0,0,-1,0,-1,1,2,2,STHSTHSSSTHSSTwwww
0,1,0,0,-1,-1,0,-1,2,3,STHSTHSSSTHSSTwww
0,0,1,0,1,-1,-1,0,2,4,STHSTHSSSTHSSTww
-1,0,0,0,1,0,1,-1,2,6,STHSTHSSSTHSST
0,-1,0,0,1,1,0,1,2,6,STHSTHSSSTHSSwwwwwww
0,0,1,0,1,-1,-1,0,2,3,STHSTHSSSTHSSww
0,0,0,1,0,1,-1,-1,2,4,STHSTHSSSTHSSw
-1,0,0,0,1,0,1,-1,2,5,STHSTHSSSTHSS
0,-1,0,0,1,1,0,1,2,5,STHSTHSSSTHSTwwwwwww
0,0,-1,0,-1,1,1,0,2,6,STHSTHSSSTHSTwwwwww
0,0,0,-1,0,-1,1,1,2,7,STHSTHSSSTHSTwwwww
1,0,0,0,-1,0,-1,1,2,0,STHSTHSSSTHSTwwww
0,1,0,0,-1,-1,0,-1,2,1,STHSTHSSSTHSTwww
0,0,0,1,0,1,-1,-1,2,3,STHSTHSSSTHSTw
0,-1,0,0,1,1,0,1,2,4,STHSTHSSSTHSwwwwwww
0,0,0,-1,0,-1,1,1,2,6,STHSTHSSSTHSwwwww
1,0,0,0,-1,0,-1,1,2,7,STHSTHSSSTHSwwww
-1,0,0,0,1,0,1,-1,2,3,STHSTHSSSTHS
0,-1,0,0,1,1,0,1,2,3,STHSTHSSSTHTwwwwwww
0,1,0,0,-1,-1,0,-1,2,7,STHSTHSSSTHTwww
0,0,0,1,0,1,-1,-1,2,1,STHSTHSSSTHTw
-1,0,0,0,1,0,1,-1,2,2,STHSTHSSSTHT
0,0,-1,0,-1,1,1,0,2,3,STHSTHSSSTHwwwwww
0,0,0,-1,0,-1,1,1,2,4,STHSTHSSSTHwwwww
1,0,0,0,-1,0,-1,1,2,5,STHSTHSSSTHwwww
0,0,1,0,1,-1,-1,0,2,7,STHSTHSSSTHww
0,0,0,1,0,1,-1,-1,2,0,STHSTHSSSTHw
1,0,0,0,1,0,1,1,2,7,STHSTHSSTHSSSTwwwwwww
0,1,0,0,-1,1,0,1,2,0,STHSTHSSTHSSSTwwwwww
0,0,0,1,0,-1,-1,1,2,2,STHSTHSSTHSSSTwwww
0,-1,0,0,1,-1,0,-1,2,4,STHSTHSSTHSSSTww
0,0,1,0,-1,-1,1,0,2,0,STHSTHSSTHSSSwwwww
0,0,0,1,0,-1,-1,1,2,1,STHSTHSSTHSSSwwww
